Year,Month,Day,Date,D0,D1,D2,D2,D3,D4
2022,9,20,44824,100,63.81,23,23,0,0
2022,9,13,44817,100,66.12,23,23,0,0
2022,9,6,44810,100,66.88,23.48,23.48,0.51,0
2022,8,30,44803,100,66.88,23.48,23.48,2.89,0
2022,8,23,44796,100,73.22,28.67,28.67,2.89,0
2022,8,16,44789,100,84.98,33.58,33.58,3.31,0
2022,8,9,44782,100,89.68,55.32,55.32,11.35,0.39
2022,8,2,44775,100,90.06,59.65,59.65,14.41,1.32
2022,7,26,44768,100,93.05,60.37,60.37,16.64,2.08
2022,7,19,44761,100,98.48,67.85,67.85,25.9,3.01
2022,7,12,44754,100,98.48,67.83,67.83,25.9,3.01
2022,7,5,44747,100,98.48,69.79,69.79,25.9,3.01
2022,6,28,44740,100,98.48,71.71,71.71,26.21,3.01
2022,6,21,44733,100,98.48,77.9,77.9,26.77,3.01
2022,6,14,44726,100,98.48,77.9,77.9,26.77,3.01
2022,6,7,44719,100,98.48,77.9,77.9,26.77,3.01
2022,5,31,44712,100,98.48,77.88,77.88,26.77,3.01
2022,5,24,44705,100,98.48,77.88,77.88,26.77,3.01
2022,5,17,44698,100,98.48,67.47,67.47,21.33,3.01
2022,5,10,44691,100,98.48,62.23,62.23,17.65,0
2022,5,3,44684,100,98.48,62.22,62.22,10.26,0
2022,4,26,44677,100,98.48,62.22,62.22,6.28,0
2022,4,19,44670,100,86.42,59.77,59.77,6.28,0
2022,4,12,44663,100,86.42,59.77,59.77,6.28,0
2022,4,5,44656,100,86.42,59.77,59.77,6.28,0
2022,3,29,44649,100,75.35,29.49,29.49,6.28,0
2022,3,22,44642,100,75.35,29.49,29.49,6.28,0
2022,3,15,44635,100,75.35,29.49,29.49,6.28,0
2022,3,8,44628,100,75.35,29.49,29.49,6.28,0
2022,3,1,44621,100,75.35,29.49,29.49,6.28,0
2022,2,22,44614,100,56.71,25.89,25.89,5.08,0
2022,2,15,44607,100,56.71,25.89,25.89,5.08,0
2022,2,8,44600,100,56.71,25.84,25.84,5.08,0
2022,2,1,44593,100,56.71,25.8,25.8,5.08,0
2022,1,25,44586,100,56.71,25.8,25.8,5.08,0
2022,1,18,44579,100,56.71,25.8,25.8,5.08,0
2022,1,11,44572,100,56.71,25.8,25.8,5.08,0
2022,1,4,44565,100,55.74,26.15,26.15,5.08,0
2021,12,28,44558,100,60.92,26.2,26.2,5.08,0
2021,12,21,44551,100,76.93,34.11,34.11,8.95,0
2021,12,14,44544,100,76.8,34.08,34.08,8.89,0
2021,12,7,44537,100,76.78,34.08,34.08,8.89,0
2021,11,30,44530,100,76.78,34.08,34.08,8.89,0
2021,11,23,44523,100,76.78,34.08,34.08,8.89,0
2021,11,16,44516,100,76.78,34.08,34.08,8.89,0
2021,11,9,44509,100,76.78,34.08,34.08,8.89,0
2021,11,2,44502,100,76.78,34.08,34.08,8.89,0
2021,10,26,44495,100,76.78,34.08,34.08,8.89,0
2021,10,19,44488,100,76.83,34.08,34.08,9,0
2021,10,12,44481,100,76.83,34.42,34.42,9,0
2021,10,5,44474,100,80.35,40.02,40.02,13.68,0
2021,9,28,44467,100,80.38,40.02,40.02,13.69,0
2021,9,21,44460,100,86.84,40.02,40.02,13.69,0
2021,9,14,44453,100,86.84,40.02,40.02,13.69,0
2021,9,7,44446,100,86.84,40.02,40.02,13.69,0
2021,8,31,44439,100,96.25,54.23,54.23,16.5,0.96
2021,8,24,44432,100,96.25,54.27,54.27,16.5,0.96
2021,8,17,44425,100,96.68,55.52,55.52,33.98,5.36
2021,8,10,44418,100,99.03,82.76,82.76,35.8,5.88
2021,8,3,44411,100,98.93,82.76,82.76,35.8,6.05
2021,7,27,44404,100,98.93,94.64,94.64,51.65,8.65
2021,7,20,44397,100,98.93,94.64,94.64,84.11,35.6
2021,7,13,44390,100,98.93,94.64,94.64,89.47,57.79
2021,7,6,44383,100,98.96,94.62,94.62,89.49,57.79
2021,6,29,44376,100,98.94,94.62,94.62,89.49,57.79
2021,6,22,44369,100,98.94,94.62,94.62,86.52,57.79
2021,6,15,44362,100,98.94,94.64,94.64,86.52,57.79
2021,6,8,44355,100,98.94,94.64,94.64,86.52,57.79
2021,6,1,44348,100,99,94.62,94.62,86.52,57.79
2021,5,25,44341,100,99.01,94.62,94.62,86.52,57.79
2021,5,18,44334,100,99.02,94.66,94.66,86.56,57.79
2021,5,11,44327,100,99.02,94.66,94.66,86.56,57.79
2021,5,4,44320,100,99.02,94.62,94.62,86.56,57.79
2021,4,27,44313,100,99.02,94.62,94.62,86.56,57.79
2021,4,20,44306,100,99.02,94.62,94.62,86.56,57.79
2021,4,13,44299,100,98.9,94.66,94.66,86.56,57.79
2021,4,6,44292,100,98.9,94.66,94.66,86.56,54.8
